english,farsi
a few,کمی
a great deal of,یک دنیا
a handful,یک مشت
a la garconne,الاگارسن
a little,اندکیی
a little,کمی
a little,اندکی
a little,کمکی
a little,اندکی
a little while later,اندکی بعد
a lot,بمقدار زیاد
a lot,کلی
a lot of,مقدار زیادی
a lot of,بسیاری
a section of,قشری از
a while,اندکی
a while ago,چندی قبل
a while later,مدتی بعد
A.D.,میلادی
aba,عبا
abacus,چرکه
abacus,چتکه
Abadan,ابادان
Aban,ابان
abandon,رهاساختن
abandon,دست کشیدن
abandon,دل کندن
abandon,ترککردن
abandon,رها کردن
abandon,صرفنظر کردن
abandon,واکهداردن
abandoned,متروکه
abandoned,متروک
abandoned place,متروکه
abandonment,ترک
abandonment,رهاسازی
abandonment,صرف نظر
abandonment,دلکندن
abandonment,متارکه
Abasalt,اباسلط
abase,تحقیر نمودن
abase,کمارزش کردن
abatement,فروکشی
abatement,فروکش
Abazar,اباذر
abbacy,مقام رهبانیت
Abbas,عباس
Abbas Abdi,عباس عبدی
Abbas Agha,عباساقا
Abbas Ali,عباسعلی
abbatial,راهبی
abbatial,دیری
abbatial,خانقاهی
abbey,خانقاه
abbreviate,مخفف کردن
abbreviate,اقتصار کردن
abbreviate,مختصر کردن
abbreviation,علامات اختصاری
abbreviation,علامت اقتصاری
abbreviation,یجاز
abbreviation,اختصار
abc,کتاب الفبا
abc,مبدا کار
Abd Hoseyn,عبدحسین
Abdali,عبدعلی
Abdelaziz Hakim,عبداعزیز حکیم
Abdi,عبدی
abdicate,تفویض کردن
abdication,کنارهگیری
Abdol Ali,عبدالعلی
Abdol Hoseyn,عبدالحسین
Abdol Jalil,عبدالجلیل
Abdol Karim,عبدالکریم
Abdol Majid,عبدالمجید
Abdol Malek,عبدالملک
Abdol Mohammad,عبدالمحمد
Abdol Reza,عبدالرضا
Abdol Salam,عبدالسلام
Abdol Vahed,عبدالواحد
Abdolamir,عبدالامیر
Abdolhamid,عبدالحمید
Abdolhasan,عبدالحسن
Abdolkhalegh,عبدالخالق
Abdollah,عبدالله
Abdollah Gol,عبدالله گل
Abdolmalek,عبدالملک
Abdolmehdi,عبدالمهدی
Abdolrahim,عبدالرحیم
Abdolrahman,عبدالرحمان
Abdolrasul,عبدالرسول
abdomen,بطن
abdomen,شکم
abdominal,وریدهی شکمی
abdominal,بطنی
abdominal,ماهیان بطنی
abdominal,شکمی
abdominous,شکم گنده
abduct,ربودن
abducted,ربودهشده
abductor,ادمدزد
abductor,ادمربا
abductor,ادمربا
abductor,ادمدزد
Abdul Ali,عبدالعلی
Abdul Azimi,عبدالعظیمی
Abdul Ghani,عبدالغنی
Abdul Rashid,عبد الرشید
Abdullah,عبدالله
abecedarian,ابجداموز
abecedarian,ابجدخوان
Abel,هابیل
aberration,انحراف
aberration,گمراهی
abeyance,بی تکلیفی
abeyant,بی تکلیف
abiding,وفا کننده
ability,وسع
ability,تمکن
ability,قابلیت
ability,استطاعت
ability,توانیی
ability,توان
abject,خوار و زار
abjuration,ارتداد
abjuration,عهد شکنی
abjuration,سوگند شکنی
abjuration,نقض عهد
abjure,رافضی شدن
ablactation,شیرواگیران
ablative,ازی
ablative,ازی
ablative,مفعول منه
ablative,صیغه الت
ablative,مفعول عنه
ablaze,افروخته
able,قادر
able,لیق بودن
able-minded,باکله
abloom,شکوفا
abloom,پر شکوفه
ablution,غسل
ablution,ابدست
ablution,وضو
ablution before prayer,دست نماز
ablution with earth,تیمم
abnegate,بخود حرام کردن
abnegation,کف نفس
abnegator,منکر
abnegator,منکر
abnormal,غیر عادی
abnormalcy,نا هنجاری
abnormality,نابههنجاری
abode,بودباش
Abolfath,ابوالفتح
Abolfazl,ابوالفضل
Abolghasem,ابوالقاسم
Abolhasan,ابوالحسن
abolish,اازمیان بردن
abolish,نسخ کردن
abolish,منسوخ کردن
abolished,موقوف
abolished,منسوخ
abolished customs,رسوم مسوخه
abolition,نسخ
abolition,الغا مجازات
abolition,برانداختگی
abominable,مکروه
abominate,مکروه دانستن
abomination,عمل شنیع
abonne,وجهاشتراک
aboriginal,سکنه اولیه
aborigine,گیاه بومی
abort,نارس ماندن
abort,سقط کردن
abort,ریشه نکردن
abort,عقیم ماندن
aborted,ساقط
abortifacient,سقط جنینی
abortifacient,بچهانداز
abortion,عدم تکامل
